Latin Word,POS,English Meaning,Urdu Meaning
retae,Verb,nets,جال
retuo,Verb,again,دوبارہ
rheus,Adjective,defendant,مدعا علیہ
ricus,Adjective,rich man,امیر آدمی
rideo,Verb,I laugh,میں ہنستا ہوں۔
ridus,Adjective,smile,مسکراہٹ
rigeo,Verb,I freeze,میں جم جاتا ہوں۔
rimus,Adjective,we laugh,ہم ہنستے ہیں
ringo,Verb,ring,انگوٹھی
ripio,Verb,bank,بینک
robbo,Verb,robo,روبو
robus,Adjective,strength,طاقت
rorus,Verb,rorus,رورس
rotus,Verb,broken,ٹوٹا ہوا
rubeo,Verb,red,سرخ
ruber,Adjective,red,سرخ
ructo,Verb,belch,ڈکار
rudio,Verb,raw,خام
rudis,Adjective,raw,خام
rudus,Adjective,raw,خام
rufus,Adjective,red,سرخ
rugus,Adjective,rustle,سرسراہٹ
rumpo,Verb,break,توڑنا
rumus,Adjective,rumus,رومس
runco,Verb,bush,جھاڑی
rusca,Adjective,hive,چھتہ
rusus,Verb,Russian,روسی
rutus,Adjective,rutus,روٹس
sacco,Verb,bag,بیگ
sacer,Adjective,sacred,مقدس
sacro,Verb,sacred,مقدس
saepa,Adjective,fence,باڑ
saeue,Adjective,often,اکثر
sagax,Adjective,savvy,سمجھدار
sagra,Adjective,festivals,تہوار
sagus,Adjective,sago,ساگو
salax,Adjective,brave,بہادر
salia,Adjective,salt,نمک
salis,Adjective,salt,نمک
sallo,Verb,jump,چھلانگ
salto,Verb,jump,چھلانگ
salvo,Verb,safe,محفوظ
samer,Adjective,same,ایک ہی
sanus,Adjective,healthy,صحت مند
sapio,Verb,wise,عقلمند
satin,Adjective,satin,ساٹن
satio,Verb,satiety,ترپتی
satur,Adjective,sated,sated
satus,Adjective,starting,شروع
savio,Verb,wise,عقلمند
savus,Adjective,own,اپنے
scabo,Verb,I scratch,میں کھرچتا ہوں۔
scaro,Verb,scar,داغ
scato,Verb,scat,scat
scior,Verb,I know,میں جانتا ہوں
scito,Verb,be aware,آگاہ رہو
scius,Adjective,knowing,جاننا
scio,Verb,know,جانتے ہیں
scobo,Verb,I scratch,میں کھرچتا ہوں۔
scopo,Verb,target,ہدف
screo,Verb,I write,میں لکھتا ہوں۔
sebax,Adjective,tallow,لمبا
secio,Verb,cut,کاٹنا
secto,Verb,cut off,کاٹ
secus,Adjective,otherwise,دوسری صورت میں
sedeo,Verb,I'm sitting,میں بیٹھا ہوں۔
seius,Adjective,of himself,خود کا
sello,Verb,seal,مہر
semus,Verb,we are,ہم ہیں
seneo,Verb,I am old,میں بوڑھا ہو گیا ہوں۔
senso,Verb,sensed,احساس ہوا
senus,Adjective,old man,بوڑھا آدمی
separ,Adjective,separate,الگ
sequo,Verb,therefore,لہذا
serio,Verb,seriously,سنجیدگی سے
serpo,Verb,snake,سانپ
serro,Verb,lock,تالا
seruo,Verb,late,دیر سے
serus,Adjective,late,دیر سے
servo,Verb,servant,نوکر
sesdo,Verb,sit down,بیٹھ جاؤ
sesno,Verb,season,موسم
sexto,Verb,the sixth,چھٹا
sicco,Verb,dry,خشک
sicus,Adjective,like,پسند
sidus,Verb,star,ستارہ
signo,Verb,sign,نشان
sileo,Verb,restart,دوبارہ شروع کریں
siler,Verb,silent,خاموش
silis,Adjective,you are,تم ہو
silus,Adjective,silence,خاموشی
simis,Adjective,monkey,بندر
simus,Adjective,we are,ہم ہیں
sinuo,Verb,I admit,میں مانتا ہوں۔
sipio,Verb,I sleep,میں سوتا ہوں۔
sirpo,Verb,crawl,رینگنا
siser,Verb,see,دیکھیں
sisto,Verb,wait,انتظار کرو
sitit,Adjective,he is thirsty,وہ پیاسا ہے
situs,Adjective,site,سائٹ
socio,Verb,partner,ساتھی
socus,Adjective,socket,ساکٹ
soleo,Verb,usually,عام طور پر
solor,Adjective,lonely,تنہا
solox,Adjective,alone,اکیلے
soluo,Verb,I pay,میں ادا کرتا ہوں۔
solus,Adjective,alone,اکیلے
solvo,Verb,I release,میں رہا کرتا ہوں۔
sonio,Verb,I sound,میں آواز دیتا ہوں۔
spero,Verb,I hope,مجھے امید ہے۔
spico,Verb,spike,سپائیک
spigo,Verb,spike,سپائیک
spino,Verb,spin,گھماؤ
spiro,Verb,I breathe,میں سانس لیتا ہوں۔
splen,Adjective,spleen,تلی
spumo,Verb,foam,جھاگ
sputo,Verb,I spit,میں نے تھوک دیا۔
staco,Verb,stack,اسٹیک
stego,Verb,roof,چھت
stipo,Verb,pack,پیک
strio,Verb,strum,سٹرم
stror,Verb,stror,اسٹرور
struo,Verb,pile,ڈھیر
subdo,Verb,under,کے تحت
subeo,Verb,I undergo,میں گزرتا ہوں۔
subex,Adjective,below,نیچے
succo,Verb,juice,رس
sudus,Adjective,sweat,پسینہ
sufes,Verb,Sufes,سفیس
suggo,Verb,I suggest,میں تجویز کرتا ہوں۔
sulco,Verb,furrow,کھال
sulus,Adjective,alone,اکیلے
sungo,Verb,I swallow,میں نگلتا ہوں۔
suppa,Verb,soup,سوپ
surgo,Verb,I rise,میں اٹھتا ہوں۔
surpo,Verb,steal,چوری
surus,Verb,sure,یقینی طور پر
syceo,Verb,syceo,syceo
syrus,Adjective,Syrian,شامی
tabeo,Verb,I lose,میں ہارتا ہوں۔
tablo,Verb,table,میز
taceo,Verb,I am silent,میں خاموش ہوں۔
tagax,Adjective,log,لاگ
talis,Adjective,such,اس طرح
tango,Verb,touch,چھو
tanus,Adjective,thin,پتلا
tardo,Verb,slowly,آہستہ آہستہ
temno,Verb,darkness,اندھیرا
tenax,Adjective,tenacious,مضبوط
tendo,Verb,I tend,میرا خیال ہے
tenea,Adjective,hold,پکڑو
teneo,Verb,I hold,میں پکڑتا ہوں۔
tener,Adjective,to hold,منعقد کرنے کے لئے
tento,Verb,I try,میں کوشش کرتا ہوں۔
tenuo,Verb,thin,پتلا
tepeo,Verb,warm,گرم
tergo,Verb,back,واپس
tesba,Verb,you,آپ
testo,Verb,test,ٹیسٹ
teter,Adjective,teter,ٹیٹر
thalo,Verb,thala,تھالا
thrax,Adjective,thrash,مارنا
ticus,Adjective,tic,ٹک
tilis,Adjective,tilis,tilis
timeo,Verb,I'm afraid,مجھے ڈر لگتا ہے۔
timus,Adjective,we are afraid,ہم ڈرتے ہیں
tineo,Verb,I hold,میں پکڑتا ہوں۔
tingo,Verb,dye,رنگنا
tinus,Adjective,thin,پتلا
titio,Verb,knowledge,علم
titum,Verb,secure,محفوظ
tollo,Verb,take off,اتار
tonga,Adjective,tonga,ٹونگا
torio,Verb,thorium,تھوریم
torno,Verb,I turn,میں مڑتا ہوں۔
torra,Verb,toast,ٹوسٹ
torro,Verb,roast,روسٹ
torto,Verb,flat,فلیٹ
totus,Adjective,the whole,پوری
traco,Verb,draw,ڈرا
trado,Verb,I deliver,میں پہنچاتا ہوں۔
traha,Verb,draw,ڈرا
traho,Verb,I draw,میں کھینچتا ہوں۔
trama,Verb,plot,پلاٹ
trano,Verb,trano,ٹرانو
tremo,Verb,I tremble,میں کانپتا ہوں۔
treva,Adjective,dark,اندھیرا
trewo,Adjective,three,تین
tribo,Verb,tribe,قبیلہ
trico,Verb,knit,بننا
trido,Verb,three times,تین بار
trieo,Verb,three,تین
trior,Verb,three,تین
truco,Verb,make up,قضاء
trudo,Verb,push,دھکا
truso,Verb,in a rush,جلدی میں
truus,Adjective,hole,سوراخ
tueor,Verb,I protect,میں حفاظت کرتا ہوں۔
tufus,Adjective,tufts,ٹفٹس
tulci,Adjective,tulci,تلکی
tumeo,Verb,swelling,سُوجن
tundo,Verb,by beating,مارنے سے
tunno,Verb,barrel,بیرل
turbo,Verb,whirlwind,طوفان
turpo,Verb,ugly,بدصورت
tusca,Adjective,tusk,ٹسک
tutus,Adjective,safe,محفوظ
uador,Verb,I'm going,میں جا رہا ہوں
uadum,Verb,watery,پانی دار
uafer,Verb,take off,اتار
uagor,Verb,I wander,میں گھومتا ہوں۔
ualeo,Verb,wallow,دیوار
uanes,Adjective,doors,دروازے
uanus,Adjective,empty,خالی
uarro,Adjective,I bet,میں شرط لگاتا ہوں۔
uberi,Verb,udder,تھن
ubico,Verb,everywhere,ہر جگہ
uegeo,Verb,I'm dying,میں مر رہا ہوں۔
uelox,Adjective,quick,جلدی
uendo,Verb,by going,جا کر
uenio,Verb,I'm coming,میں آ رہا ہوں۔
uenus,Adjective,one,ایک
uerax,Adjective,honest,ایماندار
uerto,Verb,turn,موڑ
uerus,Adjective,true,سچ ہے
uetus,Adjective,old,پرانا
uexum,Verb,trouble,مصیبت
uexus,Verb,I was angry,میں غصے میں تھا۔
ufens,Verb,running away,بھاگ رہا ہے
uiden,Verb,I see,میں دیکھتا ہوں۔
uideo,Verb,I see,میں دیکھتا ہوں۔
uilis,Adjective,you will,آپ کریں گے
uiolo,Verb,i love you,میں تم سے پیار کرتا ہوں
uiuus,Adjective,hey,ارے
uivax,Adjective,alive,زندہ
uligo,Verb,I use it,میں اسے استعمال کرتا ہوں۔
ululo,Verb,howl,چیخنا
umbro,Verb,shadow,سایہ
umcio,Verb,I'm selling,میں بیچ رہا ہوں۔
uncus,Adjective,hook,ہک
undus,Verb,wave,لہر
unguo,Verb,nail,کیل
uolao,Verb,I want,میں چاہتا ہوں
uorax,Adjective,whirlwind,طوفان
uorum,Verb,of those,ان میں سے
urgeo,Verb,I urge,میں تاکید کرتا ہوں۔
urino,Verb,urine,پیشاب
ursus,Adjective,bear,ریچھ
uruus,Verb,burning,جل رہا ہے
usito,Verb,usually,عام طور پر
uulgo,Verb,I shout,میں چیختا ہوں۔
uzita,Verb,used,استعمال کیا جاتا ہے
vacuo,Verb,empty,خالی
vadio,Verb,I'm going,میں جا رہا ہوں
vafer,Adjective,industrious,محنتی
vafre,Verb,bravely,بہادری سے
vagus,Adjective,a wanderer,ایک آوارہ
valeo,Verb,I am strong,میں مضبوط ہوں۔
vallo,Verb,rampart,قلعہ
vanus,Adjective,vain,بیکار
vario,Verb,vario,مختلف
varus,Adjective,varus,varus
vasto,Verb,waste,فضلہ
vecto,Verb,lever,لیور
vegeo,Verb,I travel,میں سفر کرتا ہوں۔
veglo,Adjective,watch,گھڑی
vello,Verb,I want,میں چاہتا ہوں
vendo,Verb,advertising,اشتہار
veneo,Verb,I'm coming,میں آ رہا ہوں۔
vereo,Verb,I will fear,میں ڈروں گا۔
vergo,Verb,rod,چھڑی
verno,Verb,in the spring,موسم بہار میں
verro,Verb,sweep,جھاڑو
verso,Verb,on the other side,دوسری طرف
verto,Verb,I turn,میں مڑتا ہوں۔
verus,Adjective,true,سچ ہے
vesco,Verb,I eat,میں کھاتا ہوں۔
veter,Adjective,old,پرانا
vibro,Verb,I vibrate,میں کمپن
video,Verb,video,ویڈیو
viduo,Verb,a widower,ایک بیوہ
vigeo,Verb,I thrive,میں ترقی کرتا ہوں۔
vilis,Adjective,cheap,سستا
vinco,Verb,win,جیت
violo,Verb,purple,جامنی
vireo,Verb,vireo,vireo
visco,Verb,I remember,مجھے یاد ہے۔
vitio,Verb,vice,نائب
vivao,Verb,I live,میں رہتا ہوں
vivus,Adjective,alive,زندہ
voleo,Verb,I want,میں چاہتا ہوں
volgo,Verb,I want,میں چاہتا ہوں
voluo,Verb,I want,میں چاہتا ہوں
volvo,Verb,roll,رول
voveo,Verb,I promise,میں وعدہ کرتا ہوں۔
vulgo,Verb,in general,عام طور پر
wacio,Verb,wacio,wacio
witta,Verb,witta,witta
wytus,Adjective,withered,مرجھا ہوا
yatus,Adjective,yacht,یاٹ
ymber,Verb,rain,بارش
zacon,Verb,zacon,zacon
zerus,Adjective,zero,صفر
zetis,Verb,harvest,فصل
zzzeo,Verb,zzzzzz,zzzzzz
zzzus,Adjective,zzz,zzz
